[[0, 1], [2, 3], [4, 5], [6, 15], [7, 14], [8, 11], [9, 12], [10, 13]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 14], [8, 15], [9, 12], [10, 11]]
[[0, 1], [2, 3], [4, 5], [6, 15], [7, 14], [8, 13], [9, 12], [10, 11]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 9], [10, 11], [12, 15], [13, 14]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 9], [10, 15], [11, 12], [13, 14]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 9], [10, 13], [11, 14], [12, 15]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 9], [10, 15], [11, 14], [12, 13]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 11], [9, 10], [12, 15], [13, 14]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 13], [9, 10], [11, 14], [12, 15]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 15], [9, 10], [11, 14], [12, 13]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 11], [9, 12], [10, 15], [13, 14]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 15], [9, 12], [10, 11], [13, 14]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 13], [9, 12], [10, 15], [11, 14]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 15], [9, 12], [10, 13], [11, 14]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 11], [9, 14], [10, 13], [12, 15]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 11], [9, 14], [10, 15], [12, 13]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 13], [9, 14], [10, 11], [12, 15]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 15], [9, 14], [10, 11], [12, 13]]
[[0, 1], [2, 3], [4, 7], [5, 6], [8, 13], [9, 14], [10, 15], [11, 12]]
