[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 16], [10, 11], [12, 13], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 13], [9, 16], [10, 17], [11, 12], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 16], [10, 11], [12, 15], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 15], [9, 16], [10, 17], [11, 12], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 16], [10, 15], [11, 12], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 13], [9, 16], [10, 15], [11, 14], [12, 17]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 13], [9, 16], [10, 17], [11, 14], [12, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 16], [10, 13], [11, 14], [12, 15]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 15], [9, 16], [10, 17], [11, 14], [12, 13]]
[[0, 1], [2, 3], [4, 5], [6, 7], [8, 17], [9, 16], [10, 15], [11, 14], [12, 13]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 11], [12, 13], [14, 17], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 11], [12, 17], [13, 14], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 11], [12, 15], [13, 16], [14, 17]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 11], [12, 17], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 13], [11, 12], [14, 17], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 17], [11, 12], [13, 14], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 15], [11, 12], [13, 16], [14, 17]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 17], [11, 12], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 13], [11, 14], [12, 17], [15, 16]]
